year,month,value
2021,Jan,-14.54
2021,Feb,-12.62
2021,Mar,-13.93
2021,Apr,-15.10
2021,May,-6.28
2021,Jun,-9.37
2021,Jul,-11.01
2021,Aug,-13.81
2021,Sep,-22.59
2021,Oct,-19.90
2021,Nov,-22.91
2021,Dec,-21.68
2022,Jan,-17.87
2022,Feb,-21.19
2022,Mar,-18.51
2022,Apr,-20.11
2022,May,-24.29
2022,Jun,-25.63
2022,Jul,-31.02
2022,Aug,-28.68
2022,Sep,-25.71
2022,Oct,-26.91
2022,Nov,-23.89
2022,Dec,-23.76
2023,Jan,-17.75
2023,Feb,-17.43
2023,Mar,-19.70
2023,Apr,-15.24
2023,May,-22.12
2023,Jun,-20.13
2023,Jul,-20.67
2023,Aug,-24.16
2023,Sep,-19.37
2023,Oct,-31.46
2023,Nov,-20.58
2023,Dec,-19.81
2024,Jan,-17.49
2024,Feb,-18.70
2024,Mar,-15.60
2024,Apr,-19.10
2024,May,-23.80
2024,Jun,-20.13
2024,Jul,-20.67
2024,Aug,-24.16
2024,Sep,-19.37
2024,Oct,-31.46
2024,Nov,-37.84
2024,Dec,-21.94
2025,Jan,-23.00
2025,Feb,-14.05
2025,Mar,-21.54
2025,Apr,-26.42
2025,May,-21.88
